time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_z,ori_y,ori_x,q,p1,p2,p3,A0,A1,A2
1589550470.6742587,-0.04,-4.11,8.84,0.45111111111111113,0.2611111111111111,-0.6488888888888888,0.0032724923474893677,0.0032724923474893677,0.001090830782496456,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.150146484375,-0.1519775390625,0.6998291015625,0.33337121366189926,0.461304233506186,0.10109503358834042
1589550470.6824539,-0.08,-4.11,8.9,0.45111111111111113,0.2611111111111111,-0.6488888888888888,0.0032724923474893677,0.004363323129985824,0.001090830782496456,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.150146484375,-0.1519775390625,0.6998291015625,0.3379095440748334,0.461304233506186,0.10109503358834042
1589550470.6951828,-0.06,-4.11,8.93,0.45111111111111113,0.2611111111111111,-0.6488888888888888,-0.0032724923474893677,0.002181661564992912,0.0,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.150146484375,-0.1519775390625,0.6998291015625,0.3379095440748334,0.41713108403018173,0.12959707262420406
1589550470.7027972,-0.08,-4.11,8.92,0.4577777777777778,0.2677777777777778,-0.6266666666666667,-0.0032724923474893677,0.001090830782496456,0.0,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.15020751953125,-0.1519775390625,0.6998291015625,0.34232915890069343,0.41713108403018173,0.12959707262420406
1589550470.7127151,-0.08,-4.11,8.94,0.4577777777777778,0.2677777777777778,-0.6266666666666667,0.0,0.0,0.0,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.15020751953125,-0.1519775390625,0.6998291015625,0.34232915890069343,0.47352537593952493,0.11763054206942451
1589550470.7245824,-0.06,-4.12,8.79,0.4577777777777778,0.2677777777777778,-0.6266666666666667,-0.002181661564992912,-0.002181661564992912,0.002181661564992912,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.15020751953125,-0.1519775390625,0.6998291015625,0.3248417572103921,0.42056425696985505,0.13075576177870196
1589550470.7328176,-0.07,-4.11,8.83,0.4577777777777778,0.2677777777777778,-0.6266666666666667,0.0,0.0032724923474893677,0.001090830782496456,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.15020751953125,-0.1519775390625,0.6998291015625,0.3248417572103921,0.42056425696985505,0.13075576177870196
1589550470.7448163,-0.07,-4.11,8.9,0.4577777777777778,0.2677777777777778,-0.6266666666666667,0.002181661564992912,0.001090830782496456,0.002181661564992912,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.15020751953125,-0.1519775390625,0.6998291015625,0.33562603819066317,0.5569797040159007,0.1311463055065792
1589550470.7583966,-0.05,-4.13,8.94,0.45111111111111113,0.27555555555555555,-0.6266666666666667,0.001090830782496456,-0.002181661564992912,-0.002181661564992912,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.15020751953125,-0.1519775390625,0.6998291015625,0.3567681567603077,0.4863660959204594,0.13075576177870196
1589550470.7645464,-0.06,-4.12,8.91,0.45111111111111113,0.27555555555555555,-0.6266666666666667,0.001090830782496456,-0.002181661564992912,0.002181661564992912,4.685118210822278,-0.002181661564992912,0.42978732830360367,0.68157958984375,-0.15020751953125,-0.1519775390625,0.6998291015625,0.3567681567603077,0.4863660959204594,0.13075576177870196
